Date,Precipitation,Evapotranspiration,Observed_Flow
2010-01-01,8.95,1.0,0.0
2010-01-02,5.12,1.0,0.0
2010-01-03,0.0,1.0,0.272
2010-01-04,0.0,1.0,0.0
2010-01-05,0.0,1.0,0.0
2010-01-06,11.04,1.01,0.28
2010-01-07,0.0,1.01,0.271
2010-01-08,9.28,1.01,0.0
2010-01-09,0.0,1.01,0.0
2010-01-10,0.4,1.02,0.356
2010-01-11,1.89,1.02,0.235
2010-01-12,7.7,1.03,0.055
2010-01-13,0.0,1.03,0.727
2010-01-14,0.0,1.04,0.0
2010-01-15,3.36,1.04,0.0
2010-01-16,0.0,1.05,0.0
2010-01-17,0.0,1.06,0.047
2010-01-18,0.0,1.06,0.116
2010-01-19,5.76,1.07,0.0
2010-01-20,1.78,1.08,0.244
2010-01-21,0.0,1.09,0.0
2010-01-22,1.41,1.1,0.489
2010-01-23,6.96,1.11,0.061
2010-01-24,0.0,1.12,0.505
2010-01-25,0.0,1.13,0.203
2010-01-26,5.23,1.14,0.214
2010-01-27,4.35,1.15,0.328
2010-01-28,0.0,1.16,0.294
2010-01-29,13.61,1.17,0.353
2010-01-30,7.76,1.18,0.778
2010-01-31,3.99,1.2,0.416
2010-02-01,0.0,1.21,0.431
2010-02-02,0.0,1.22,0.094
2010-02-03,13.36,1.24,0.605
2010-02-04,12.45,1.25,0.271
2010-02-05,2.37,1.26,1.076
2010-02-06,0.0,1.28,0.27
2010-02-07,3.61,1.29,0.0
2010-02-08,4.89,1.31,0.27
2010-02-09,0.0,1.33,0.067
2010-02-10,16.65,1.34,0.559
2010-02-11,0.0,1.36,0.401
2010-02-12,3.0,1.38,0.233
2010-02-13,5.64,1.39,0.0
2010-02-14,19.02,1.41,0.349
2010-02-15,0.0,1.43,0.079
2010-02-16,0.0,1.45,0.0
2010-02-17,0.0,1.46,0.483
2010-02-18,7.98,1.48,0.541
2010-02-19,0.0,1.5,0.585
2010-02-20,3.52,1.52,0.072
2010-02-21,12.31,1.54,0.409
2010-02-22,0.0,1.56,0.643
2010-02-23,6.37,1.58,0.124
2010-02-24,12.78,1.6,1.008
2010-02-25,2.8,1.62,1.02
2010-02-26,4.24,1.64,0.482
2010-02-27,7.58,1.67,0.516
2010-02-28,0.0,1.69,0.656
2010-03-01,1.04,1.71,0.0
2010-03-02,0.0,1.73,0.298
2010-03-03,0.0,1.75,0.166
2010-03-04,8.3,1.78,0.124
2010-03-05,7.34,1.8,0.546
2010-03-06,5.44,1.82,1.22
2010-03-07,0.0,1.85,0.782
2010-03-08,5.69,1.87,0.313
2010-03-09,0.0,1.89,0.704
2010-03-10,31.81,1.92,1.146
2010-03-11,0.0,1.94,1.719
2010-03-12,7.62,1.96,0.928
2010-03-13,14.44,1.99,0.595
2010-03-14,0.0,2.01,1.216
2010-03-15,0.0,2.04,0.788
2010-03-16,1.07,2.06,0.763
2010-03-17,0.0,2.09,0.681
2010-03-18,0.0,2.11,0.803
2010-03-19,0.0,2.14,0.325
2010-03-20,0.0,2.16,0.878
2010-03-21,2.14,2.19,0.54
2010-03-22,18.85,2.21,1.243
2010-03-23,2.54,2.24,0.819
2010-03-24,0.0,2.26,1.243
2010-03-25,0.0,2.29,0.566
2010-03-26,1.39,2.31,0.303
2010-03-27,0.75,2.34,0.351
2010-03-28,0.0,2.36,0.398
2010-03-29,0.0,2.39,0.619
2010-03-30,0.0,2.42,0.647
2010-03-31,9.13,2.44,0.366
2010-04-01,7.59,2.47,0.714
2010-04-02,2.88,2.49,1.368
2010-04-03,0.0,2.52,1.089
2010-04-04,7.56,2.55,0.673
2010-04-05,0.0,2.57,0.657
2010-04-06,22.83,2.6,0.752
2010-04-07,0.0,2.62,1.299
2010-04-08,0.0,2.65,0.449
2010-04-09,0.0,2.67,0.44
2010-04-10,12.74,2.7,0.088
2010-04-11,8.36,2.73,0.975
2010-04-12,4.61,2.75,1.019
2010-04-13,0.0,2.78,0.506
2010-04-14,0.0,2.8,1.019
2010-04-15,0.0,2.83,0.153
2010-04-16,0.0,2.85,0.078
2010-04-17,0.0,2.88,0.582
2010-04-18,9.91,2.9,0.876
2010-04-19,0.0,2.93,1.209
2010-04-20,1.75,2.95,0.453
2010-04-21,8.85,2.98,0.879
2010-04-22,0.0,3.0,0.661
2010-04-23,10.6,3.02,0.579
2010-04-24,8.78,3.05,1.028
2010-04-25,0.0,3.07,0.957
2010-04-26,2.35,3.1,0.113
2010-04-27,0.0,3.12,0.964
2010-04-28,7.07,3.14,0.959
2010-04-29,1.36,3.17,0.434
2010-04-30,2.24,3.19,0.679
2010-05-01,6.7,3.21,0.69
2010-05-02,0.0,3.24,0.687
2010-05-03,1.58,3.26,0.388
2010-05-04,0.0,3.28,0.315
2010-05-05,0.0,3.3,0.506
2010-05-06,0.0,3.32,0.863
2010-05-07,0.0,3.34,0.672
2010-05-08,0.0,3.37,0.396
2010-05-09,12.65,3.39,0.79
2010-05-10,10.11,3.41,0.0
2010-05-11,2.58,3.43,1.092
2010-05-12,0.0,3.45,0.053
2010-05-13,29.39,3.47,0.567
2010-05-14,0.0,3.49,0.813
2010-05-15,0.0,3.51,0.386
2010-05-16,13.91,3.53,0.94
2010-05-17,0.0,3.54,0.644
2010-05-18,10.33,3.56,0.776
2010-05-19,6.08,3.58,0.701
2010-05-20,0.0,3.6,0.804
2010-05-21,0.0,3.62,0.575
2010-05-22,0.0,3.63,0.138
2010-05-23,5.24,3.65,0.829
2010-05-24,9.01,3.67,0.443
2010-05-25,0.0,3.68,0.198
2010-05-26,0.0,3.7,0.444
2010-05-27,0.0,3.71,0.969
2010-05-28,1.33,3.73,0.771
2010-05-29,0.0,3.74,0.41
2010-05-30,26.44,3.76,0.54
2010-05-31,13.37,3.77,0.991
2010-06-01,0.0,3.78,1.587
2010-06-02,2.79,3.8,0.737
2010-06-03,0.0,3.81,0.655
2010-06-04,11.1,3.82,0.876
2010-06-05,1.87,3.84,0.768
2010-06-06,0.0,3.85,0.515
2010-06-07,0.0,3.86,0.464
2010-06-08,0.0,3.87,0.498
2010-06-09,0.0,3.88,0.506
2010-06-10,0.0,3.89,0.734
2010-06-11,0.0,3.9,0.529
2010-06-12,0.0,3.91,0.732
2010-06-13,6.17,3.92,0.497
2010-06-14,0.0,3.92,0.576
2010-06-15,15.84,3.93,0.0
2010-06-16,0.0,3.94,1.011
2010-06-17,0.0,3.95,0.705
2010-06-18,3.58,3.95,0.811
2010-06-19,0.0,3.96,0.0
2010-06-20,0.0,3.97,1.135
2010-06-21,4.12,3.97,0.467
2010-06-22,0.0,3.98,0.842
2010-06-23,0.0,3.98,0.196
2010-06-24,9.35,3.98,0.712
2010-06-25,0.0,3.99,0.276
2010-06-26,0.53,3.99,0.353
2010-06-27,0.0,3.99,1.08
2010-06-28,0.0,4.0,0.447
2010-06-29,0.0,4.0,0.568
2010-06-30,0.0,4.0,0.764
2010-07-01,0.0,4.0,0.651
2010-07-02,0.0,4.0,0.546
2010-07-03,11.77,4.0,0.635
2010-07-04,0.0,4.0,1.32
2010-07-05,3.11,4.0,0.523
2010-07-06,0.0,4.0,0.562
2010-07-07,13.68,4.0,0.848
2010-07-08,15.06,3.99,0.996
2010-07-09,1.46,3.99,1.064
2010-07-10,0.0,3.99,0.759
2010-07-11,5.79,3.98,0.168
2010-07-12,0.0,3.98,1.019
2010-07-13,11.34,3.98,0.196
2010-07-14,9.82,3.97,0.721
2010-07-15,0.0,3.97,0.408
2010-07-16,0.0,3.96,0.522
2010-07-17,7.0,3.95,0.615
2010-07-18,0.0,3.95,0.645
2010-07-19,0.0,3.94,0.649
2010-07-20,0.0,3.93,0.988
2010-07-21,16.69,3.92,0.685
2010-07-22,19.08,3.92,0.672
2010-07-23,0.0,3.91,1.11
2010-07-24,5.81,3.9,0.971
2010-07-25,0.0,3.89,0.173
2010-07-26,0.0,3.88,0.7
2010-07-27,0.0,3.87,0.718
2010-07-28,0.0,3.86,0.417
2010-07-29,0.0,3.85,0.918
2010-07-30,12.92,3.84,0.493
2010-07-31,0.0,3.82,0.674
2010-08-01,6.13,3.81,0.515
2010-08-02,0.0,3.8,0.545
2010-08-03,0.0,3.78,0.19
2010-08-04,0.0,3.77,0.073
2010-08-05,0.0,3.76,0.982
2010-08-06,0.0,3.74,0.249
2010-08-07,1.15,3.73,0.205
2010-08-08,8.02,3.71,0.0
2010-08-09,0.0,3.7,0.364
2010-08-10,17.99,3.68,0.175
2010-08-11,5.44,3.67,1.191
2010-08-12,4.44,3.65,0.911
2010-08-13,7.58,3.63,0.337
2010-08-14,1.69,3.62,1.245
2010-08-15,7.45,3.6,0.839
2010-08-16,7.47,3.58,0.483
2010-08-17,5.27,3.56,0.0
2010-08-18,0.0,3.54,1.247
2010-08-19,18.45,3.53,0.166
2010-08-20,7.69,3.51,0.281
2010-08-21,0.0,3.49,0.991
2010-08-22,1.12,3.47,1.275
2010-08-23,0.0,3.45,0.927
2010-08-24,0.0,3.43,0.679
2010-08-25,4.34,3.41,0.692
2010-08-26,6.48,3.39,0.793
2010-08-27,0.0,3.37,0.794
2010-08-28,0.0,3.34,0.614
2010-08-29,0.0,3.32,0.54
2010-08-30,0.0,3.3,0.489
2010-08-31,11.97,3.28,0.315
2010-09-01,0.0,3.26,0.555
2010-09-02,17.63,3.24,0.113
2010-09-03,0.0,3.21,0.715
2010-09-04,0.0,3.19,0.308
2010-09-05,0.0,3.17,0.18
2010-09-06,0.0,3.14,0.563
2010-09-07,5.75,3.12,0.936
2010-09-08,11.28,3.1,0.859
2010-09-09,5.8,3.07,0.199
2010-09-10,8.29,3.05,0.337
2010-09-11,0.0,3.02,0.905
2010-09-12,5.44,3.0,0.265
2010-09-13,1.68,2.98,0.488
2010-09-14,0.0,2.95,0.694
2010-09-15,0.0,2.93,0.221
2010-09-16,0.0,2.9,0.542
2010-09-17,0.0,2.88,0.11
2010-09-18,3.31,2.85,0.331
2010-09-19,1.01,2.83,0.612
2010-09-20,0.0,2.8,0.033
2010-09-21,0.0,2.78,0.64
2010-09-22,6.06,2.75,0.514
2010-09-23,0.0,2.73,0.722
2010-09-24,3.08,2.7,0.596
2010-09-25,3.35,2.67,0.925
2010-09-26,0.0,2.65,0.557
2010-09-27,0.0,2.62,0.382
2010-09-28,0.0,2.6,0.543
2010-09-29,11.75,2.57,0.703
2010-09-30,0.0,2.55,0.652
2010-10-01,2.0,2.52,0.572
2010-10-02,6.27,2.49,0.312
2010-10-03,0.0,2.47,0.364
2010-10-04,0.0,2.44,0.109
2010-10-05,0.0,2.42,1.032
2010-10-06,0.0,2.39,0.133
2010-10-07,0.0,2.36,0.298
2010-10-08,0.0,2.34,0.29
2010-10-09,2.27,2.31,0.774
2010-10-10,5.82,2.29,0.429
2010-10-11,3.76,2.26,0.931
2010-10-12,19.23,2.24,0.407
2010-10-13,0.0,2.21,0.851
2010-10-14,0.0,2.19,0.359
2010-10-15,5.98,2.16,1.169
2010-10-16,6.55,2.14,0.231
2010-10-17,0.0,2.11,0.698
2010-10-18,3.06,2.09,0.733
2010-10-19,0.0,2.06,0.65
2010-10-20,0.0,2.04,0.461
2010-10-21,0.0,2.01,0.471
2010-10-22,0.0,1.99,0.522
2010-10-23,0.0,1.96,0.464
2010-10-24,2.73,1.94,0.8
2010-10-25,0.0,1.92,1.183
2010-10-26,0.0,1.89,0.345
2010-10-27,19.68,1.87,0.167
2010-10-28,0.0,1.85,0.758
2010-10-29,0.0,1.82,1.394
2010-10-30,0.0,1.8,0.271
2010-10-31,0.0,1.78,1.002
2010-11-01,0.0,1.75,1.013
2010-11-02,0.0,1.73,0.343
2010-11-03,0.0,1.71,0.679
2010-11-04,0.0,1.69,0.997
2010-11-05,0.0,1.67,0.394
2010-11-06,0.0,1.64,0.446
2010-11-07,0.0,1.62,0.333
2010-11-08,31.32,1.6,0.324
2010-11-09,0.0,1.58,0.787
2010-11-10,0.0,1.56,0.334
2010-11-11,8.89,1.54,0.56
2010-11-12,0.0,1.52,0.415
2010-11-13,3.18,1.5,0.645
2010-11-14,9.62,1.48,0.119
2010-11-15,0.0,1.46,0.782
2010-11-16,13.4,1.45,0.891
2010-11-17,0.0,1.43,0.162
2010-11-18,0.0,1.41,0.728
2010-11-19,0.0,1.39,0.889
2010-11-20,0.78,1.38,0.156
2010-11-21,5.92,1.36,1.044
2010-11-22,0.0,1.34,0.737
2010-11-23,0.0,1.33,0.345
2010-11-24,0.0,1.31,0.503
2010-11-25,9.48,1.29,0.729
2010-11-26,0.0,1.28,0.708
2010-11-27,0.0,1.26,0.748
2010-11-28,0.0,1.25,0.244
2010-11-29,8.3,1.24,0.607
2010-11-30,0.0,1.22,0.241
2010-12-01,0.0,1.21,0.545
2010-12-02,0.0,1.2,0.25
2010-12-03,3.75,1.18,0.312
2010-12-04,0.0,1.17,0.943
2010-12-05,0.0,1.16,0.868
2010-12-06,0.71,1.15,0.702
2010-12-07,0.0,1.14,0.191
2010-12-08,0.0,1.13,0.423
2010-12-09,11.61,1.12,0.936
2010-12-10,6.86,1.11,0.805
2010-12-11,0.0,1.1,1.425
2010-12-12,21.72,1.09,0.813
2010-12-13,0.0,1.08,1.057
2010-12-14,7.29,1.07,0.665
2010-12-15,0.0,1.06,0.726
2010-12-16,6.88,1.06,0.585
2010-12-17,0.0,1.05,0.892
2010-12-18,0.0,1.04,0.879
2010-12-19,0.0,1.04,0.298
2010-12-20,0.0,1.03,0.133
2010-12-21,3.22,1.03,0.0
2010-12-22,0.0,1.02,0.737
2010-12-23,0.13,1.02,0.221
2010-12-24,15.73,1.01,0.0
2010-12-25,2.44,1.01,1.025
2010-12-26,0.0,1.01,1.467
2010-12-27,0.0,1.01,0.551
2010-12-28,0.0,1.0,0.787
2010-12-29,5.02,1.0,0.585
2010-12-30,1.88,1.0,0.612
2010-12-31,0.0,1.0,0.874
